X,A1: Sample 1,X,A2: Sample 2,X,A3: Sample 3,X,B1: Sample 25,X,B2: Sample 26,X,B3: Sample 27,X,C1: Sample 49,X,C2: Sample 50,X,C3: Sample 51,X,D1: Sample 73,X,D2: Sample 74,X,D3: Sample 75
20.12,4.069743019,20.12,3.65301601,20.12,4.62460959,20.12,3.640898613,20.12,3.466690741,20.12,3.434101057,20.12,7.499044788,20.12,6.784990938,20.12,7.013688128,20.12,3.442976988,20.12,3.403981751,20.12,3.720813349
20.70685039,4.069743019,20.70685039,3.65301601,20.70685039,4.62460959,20.70685039,3.640898613,20.70685039,3.466690741,20.70685039,3.434101057,20.70685039,7.499044788,20.70685039,6.784990938,20.70685039,7.013688128,20.70685039,3.442976988,20.70685039,3.403981751,20.70685039,3.720813349
21.29370079,3.586932481,21.29370079,3.681630898,21.29370079,4.288820669,21.29370079,3.457569546,21.29370079,3.399115182,21.29370079,3.170405004,21.29370079,7.019603163,21.29370079,6.464745829,21.29370079,6.326333185,21.29370079,3.378549295,21.29370079,3.308157073,21.29370079,3.517248317
21.88055118,2.895657978,21.88055118,3.567124699,21.88055118,3.654601337,21.88055118,3.093314861,21.88055118,3.10481985,21.88055118,2.776793313,21.88055118,5.919886108,21.88055118,5.474406557,21.88055118,5.140391798,21.88055118,3.044336754,21.88055118,2.98560475,21.88055118,3.081502752
22.46740157,2.451266788,22.46740157,3.393178807,22.46740157,3.289714415,22.46740157,2.883079021,22.46740157,2.903913469,22.46740157,2.548595181,22.46740157,5.227946135,22.46740157,4.753525737,22.46740157,4.259731272,22.46740157,2.827702468,22.46740157,2.723929891,22.46740157,2.768035281
23.05425197,2.296807744,23.05425197,3.410287659,23.05425197,3.31084992,23.05425197,2.871890285,23.05425197,2.830452309,23.05425197,2.479740048,23.05425197,4.963873183,23.05425197,4.537523727,23.05425197,3.82279983,23.05425197,2.841014477,23.05425197,2.668938325,23.05425197,2.713220417
23.64110236,2.269859834,23.64110236,3.615159794,23.64110236,3.447711443,23.64110236,2.947769736,23.64110236,2.820654587,23.64110236,2.474531985,23.64110236,4.915323841,23.64110236,4.620858637,23.64110236,3.781814314,23.64110236,2.980100352,23.64110236,2.831668397,23.64110236,2.828701844
24.22795276,2.277118157,24.22795276,3.767226562,24.22795276,3.487552844,24.22795276,2.983457559,24.22795276,2.870998072,24.22795276,2.458611014,24.22795276,4.898409939,24.22795276,4.629963237,24.22795276,3.898838004,24.22795276,3.096382602,24.22795276,3.005522803,24.22795276,2.884232073
24.81480315,2.229994956,24.81480315,3.790484519,24.81480315,3.432431503,24.81480315,2.966638034,24.81480315,2.928282983,24.81480315,2.375786442,24.81480315,4.756408113,24.81480315,4.489405156,24.81480315,3.985889445,24.81480315,3.057553257,24.81480315,3.015529001,24.81480315,2.863787492
25.40165354,2.200049648,25.40165354,3.84061273,25.40165354,3.407267356,25.40165354,2.961209926,25.40165354,2.950389675,25.40165354,2.369683309,25.40165354,4.55363598,25.40165354,4.356302568,25.40165354,3.97475054,25.40165354,2.942813232,25.40165354,2.922577323,25.40165354,2.816048724
