Experiment: MI_protein_melt_sypro_orange_20180803  Selected Filter: Sypro Orange (465-580),,,,,,
Include,Color,Pos,Name,Tm1,Tm2,Status
TRUE,255,A1,Sample 1,52.15,,* - Manually edited
TRUE,255,A2,Sample 2,51.91,,* - Manually edited
TRUE,255,B1,Sample 25,52.15,,* - Manually edited
TRUE,255,B2,Sample 26,51.83,,* - Manually edited
TRUE,255,B3,Sample 27,52.29,,* - Manually edited
TRUE,255,A3,Sample 3,52.31,,* - Manually edited
TRUE,255,C1,Sample 49,52.37,,* - Manually edited
TRUE,255,C2,Sample 50,51.73,,* - Manually edited
TRUE,255,C3,Sample 51,52.29,,* - Manually edited
TRUE,255,D1,Sample 73,44.17,,* - Manually edited
TRUE,255,D2,Sample 74,44.25,,* - Manually edited
TRUE,255,D3,Sample 75,45.12,,* - Manually edited
