X	A1: Sample 1	X	A2: Sample 2	X	A3: Sample 3	X	B1: Sample 25	X	B2: Sample 26	X	B3: Sample 27	X	C1: Sample 49	X	C2: Sample 50	X	C3: Sample 51	X	D1: Sample 73	X	D2: Sample 74	X	D3: Sample 75
20.02	191.882261710054	20.02	297.008847691114	20.02	250.717818564908	20.02	224.944633616865	20.02	216.672554206195	20.02	193.52717425132	20.02	336.60436262035	20.02	354.5717342321	20.02	345.427191594244	20.02	227.335258913003	20.02	218.468093354144	20.02	222.179073928777
20.17	191.386087436308	20.17	296.74260258352	20.17	250.068411159989	20.17	224.210246855279	20.17	216.631759019917	20.17	193.20737569814	20.17	335.637100833356	20.17	353.766461716972	20.17	344.805628649402	20.17	227.039680113639	20.17	218.040196388246	20.17	221.504196449361
20.41	190.615840557808	20.41	295.639366038872	20.41	249.053249803702	20.41	223.87105253251	20.41	216.243052268987	20.41	192.722024878726	20.41	334.927322767315	20.41	353.017069838982	20.41	343.570979122522	20.41	226.595356347678	20.41	217.739789154683	20.41	220.836588156522
20.63	190.453518642911	20.63	295.318952016149	20.63	248.74337639626	20.63	223.274469600703	20.63	215.594042290586	20.63	191.825126775797	20.63	333.981663687461	20.63	352.374952450335	20.63	342.491587904914	20.63	226.071928926376	20.63	217.093820033556	20.63	220.733904196462
20.71	189.376406453458	20.71	295.072328472653	20.71	248.655481459719	20.71	222.904601521977	20.71	215.084523966537	20.71	191.597228602221	20.71	332.962358093297	20.71	351.253010313329	20.71	342.001837116795	20.71	225.668442589266	20.71	216.778867379897	20.71	220.087962979897
20.78	189.062247905261	20.78	294.283230792398	20.78	247.38362634585	20.78	222.092473728367	20.78	214.310746092868	20.78	191.17954120102	20.78	332.010485796646	20.78	350.30032886599	20.78	340.965260672683	20.78	225.157105441482	20.78	216.480155774381	20.78	219.440218589668
20.79	188.253936240893	20.79	294.339647041465	20.79	246.95564875182	20.79	221.80881906482	20.79	214.18706907751	20.79	190.797045696711	20.79	331.304901751393	20.79	350.013889103974	20.79	339.911555497913	20.79	224.873912557901	20.79	215.709281669308	20.79	219.228977150031
20.87	188.518709047845	20.87	293.846598637481	20.87	246.920512625696	20.87	222.072919731626	20.87	214.134373290075	20.87	190.656837262288	20.87	330.953506883145	20.87	349.891223527357	20.87	339.85909495953	20.87	224.663465478237	20.87	216.00663646983	20.87	219.089373641739
20.95	187.953859272781	20.95	293.723328134733	20.95	246.463642165061	20.95	221.421481502273	20.95	213.747976723733	20.95	190.429015359854	20.95	330.092663391355	20.95	348.717095513588	20.95	338.775033725304	20.95	224.751146160262	20.95	215.499372301761	20.95	218.722889227217
21.02	187.534149087139	21.02	293.145972102571	21.02	245.91290902831	21.02	220.926734654006	21.02	213.747328421116	21.02	189.906541243361	21.02	329.141589729352	21.02	348.115585967288	21.02	338.491074181965	21.02	224.029738515638	21.02	215.235970561746	21.02	218.511803144918
21.1	187.181183342917	21.1	293.198793479116	21.1	245.719650664953	21.1	220.979539229858	21.1	213.273196084132	21.1	189.889018121307	21.1	328.474131826242	21.1	347.011746882759	21.1	337.66941952506	21.1	223.731660633112	21.1	214.781259825045	21.1	218.058134051138
